Name,Date,Rate,Votes,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening,Genre,Genre 2,Genre 3
Once Upon a Time... in Hollywood,2019,7.6,"643,564",161,Film,R,-,Mild,Severe,Severe,Moderate,Moderate,Comedy, Drama,
My Little Pony: A New Generation,2021,7,"2,247",90,Film,PG,-,None,Mild,None,None,Mild,Animation, Adventure, Comedy
Jungle Cruise,2021,6.6,"113,396",127,Film,PG-13,-,None,Moderate,None,Mild,Moderate,Action, Adventure, Comedy
Gilmore Girls,2021,8.1,"110,011",44,Series,TV-PG,154,Mild,None,Mild,Mild,None,Comedy, Drama,
True Detective,2021,8.9,"524,326",55,Series,TV-MA,24,Severe,Severe,Severe,Severe,Severe,Crime, Drama, Mystery
Bones,2021,7.8,"147,495",40,Series,TV-14,245,Mild,Severe,Mild,Mild,Moderate,Comedy, Crime, Drama
American Horror Stories,2021,6.1,"12,381",45,Series,TV-MA,8,Moderate,Severe,Severe,Moderate,Severe,Drama, Horror, Thriller
Intrusion,2021,5.2,"8,561",92,Film,TV-14,-,None,Mild,Mild,Mild,Moderate,Drama, Thriller,
Leverage: Redemption,2021,8.8,"13,554",None,Series,TV-14,16,Moderate,Moderate,None,Moderate,Mild,Crime, Mystery, Thriller
Blade Runner 2049,2017,8,"502,751",164,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate,Action, Drama, Mystery
The X Files,2017,8.6,"209,643",45,Series,TV-14,217,Mild,Moderate,Mild,Mild,Severe,Crime, Drama, Mystery
Ordinary Joe,2017,6.6,"1,391",None,Series,TV-G,7,Mild,No Rate,No Rate,No Rate,No Rate,Drama,,
Schitt's Creek,2017,8.5,"97,987",22,Series,TV-14,80,Mild,None,Moderate,Mild,None,Comedy,,
The Matrix Resurrections,2021,No Rate,No Votes,140,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Sci-Fi,
The Vampire Diaries,2021,7.7,"298,419",43,Series,TV-14,171,Moderate,Moderate,Mild,Moderate,Moderate,Drama, Fantasy, Horror
Grantchester,2021,7.9,"11,403",45,Series,TV-14,39,Mild,Mild,Mild,Severe,Mild,Crime, Drama, Mystery
Blue Bayou,2021,7.1,"1,833",117,Film,R,-,No Rate,Moderate,Moderate,Mild,Moderate,Drama,,
The Matrix,1999,8.7,"1,767,660",136,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Sci-Fi,
Manhunt,1999,7.5,"6,268",45,Series,TV-14,7,None,Mild,Severe,Mild,Mild,Biography, Crime, Drama
ER,1999,7.7,"54,651",44,Series,TV-14,331,Mild,Moderate,Mild,Mild,Moderate,Drama, Romance,
One of Us Is Lying,1999,6.6,537,None,Series,None,9,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Drama, Mystery
The Wolf of Wall Street,2013,8.2,"1,271,608",180,Film,R,-,Severe,Moderate,Severe,Severe,Moderate,Biography, Comedy, Crime
The Last Kingdom,2013,8.4,"98,462",60,Series,TV-MA,46,Moderate,Severe,Mild,Mild,Moderate,Action, Drama, History
The Shawshank Redemption,1994,9.3,"2,474,122",142,Film,R,-,Mild,Moderate,Severe,Mild,Moderate,Drama,,
Star Trek: The Next Generation,1994,8.6,"109,337",44,Series,TV-PG,176,Mild,Mild,Mild,Mild,Moderate,Action, Adventure, Mystery
The Walking Dead: World Beyond,1994,4.2,"11,306",60,Series,TV-14,20,Mild,Moderate,Mild,Mild,Moderate,Drama, Horror, Sci-Fi
FBI,1994,6.9,"13,075",60,Series,TV-14,61,None,Moderate,Mild,Mild,Moderate,Action, Crime, Drama
Fargo,1994,8.9,"347,559",53,Series,TV-MA,41,Mild,Severe,Moderate,Mild,Severe,Crime, Drama, Thriller
Joker,2019,8.4,"1,077,534",122,Film,R,-,Mild,Severe,Moderate,Moderate,Severe,Crime, Drama, Thriller
Harry Potter and the Sorcerer's Stone,2001,7.6,"702,396",152,Film,PG,-,None,Mild,Mild,None,Mild,Adventure, Family, Fantasy
Curb Your Enthusiasm,2001,8.7,"111,076",28,Series,TV-MA,110,Moderate,None,Severe,Mild,None,Comedy,,
Boruto: Naruto Next Generations,2001,7.1,"16,068",23,Series,TV-14,221,None,Moderate,Mild,Mild,Moderate,Animation, Action, Adventure
Zodiac,2007,7.7,"499,163",157,Film,R,-,Mild,Moderate,Moderate,Moderate,Severe,Crime, Drama, Mystery
Supergirl,2007,6.2,"117,623",43,Series,TV-PG,126,Mild,Mild,Mild,Mild,Mild,Action, Adventure, Drama
Snake Eyes: G.I. Joe Origins,2021,5.4,"24,928",121,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate,Action, Adventure, Fantasy
